Generation,Standard Deviation
0,5.45278
1,5.50338
2,5.70276
3,6.13083
4,6.64779
5,6.75105
6,7.06818
7,7.41288
8,7.47326
9,7.63792
10,7.77762
11,7.8754
12,8.14186
13,8.28572
14,8.35118
15,8.23881
16,8.40067
17,8.78488
18,8.6396
19,8.61179
20,8.79331
21,8.75679
22,8.59947
23,8.84428
24,9.08359
25,8.89389
26,8.80522
27,9.01211
28,8.69496
29,8.05646
30,7.40653
31,6.57971
32,5.59737
33,4.90088
34,4.01228
35,3.70043
36,3.46366
37,2.73278
38,2.43775
39,2.70684
40,2.78629
41,3.17653
42,3.25055
43,3.27186
44,3.12548
45,3.30079
46,3.12983
47,2.9532
48,3.11096
49,2.86286
50,0.967839
51,0.165663
52,0.884444
53,0.511456
54,0.82547
55,0.764851
56,0.907212
57,0.804802
58,0.694154
59,0.942436
60,0.791896
61,1.01359
62,0.705063
63,0.943534
64,1.18839
65,0.966964
66,1.40013
67,1.38835
68,1.60766
69,1.43621
70,1.79643
71,1.81269
72,2.15045
73,2.21444
74,2.70208
75,3.04721
76,3.21141
77,2.87453
78,0.848606
79,0.00679608
80,0.00394009
81,0.00263278
82,0.00177276
83,0.00113198
84,0.000782379
85,0.000536147
86,0.000367544
87,0.000256455
88,0.000163863
89,0.000111875
90,8.34899e-05
91,7.0039e-05
92,5.33229e-05
93,4.44631e-05
94,3.97706e-05
95,3.10576e-05
96,2.1148e-05
97,1.75154e-05
98,1.52932e-05
99,1.2214e-05
100,9.28574e-06
101,6.62424e-06
102,4.56749e-06
103,3.39171e-06
104,2.99059e-06
105,2.88794e-06
106,2.56941e-06
107,2.2801e-06
108,1.93523e-06
109,1.34621e-06
110,9.69251e-07
111,7.33865e-07
112,6.29776e-07
113,4.96675e-07
114,4.06375e-07
115,3.08938e-07
116,2.3125e-07
117,1.58555e-07
118,1.1676e-07
119,9.00862e-08
120,5.64716e-08
121,4.5277e-08
122,3.8453e-08
123,3.25575e-08
124,2.8097e-08
125,2.44348e-08
126,2.05162e-08
127,1.55752e-08
128,1.22377e-08
129,8.59157e-09
130,6.14638e-09
131,4.182e-09
132,3.18268e-09
133,2.44436e-09
134,2.00137e-09
135,1.35496e-09
136,1.00938e-09
137,8.04501e-10
138,6.02952e-10
139,4.79892e-10
140,3.80956e-10
141,3.14951e-10
142,2.51274e-10
143,2.11595e-10
144,1.73805e-10
145,1.48234e-10
146,1.22525e-10
147,9.36524e-11
148,7.71838e-11
149,7.16172e-11
150,5.75534e-11
151,4.64172e-11
152,3.49035e-11
153,2.55647e-11
154,1.67645e-11
155,1.14098e-11
156,8.25944e-12
157,5.95577e-12
158,5.02528e-12
159,4.06314e-12
160,3.15523e-12
161,2.39906e-12
162,1.85634e-12
163,1.57664e-12
164,1.41333e-12
165,1.07869e-12
166,9.50758e-13
167,5.51411e-13
168,5.45706e-13
169,5.2515e-13
170,8.67349e-13
171,6.18386e-13
172,4.40464e-13
173,5.71069e-13
174,5.31649e-13
175,4.61747e-13
176,4.29446e-13
177,3.84163e-13
178,3.58836e-13
179,3.34018e-13
180,3.14212e-13
181,2.95154e-13
182,3.84695e-13
183,3.69102e-13
184,3.56478e-13
185,3.4812e-13
186,3.44809e-13
187,3.38496e-13
188,3.34028e-13
189,3.33955e-13
190,3.33955e-13
191,3.33955e-13
192,3.33955e-13
193,3.33955e-13
194,3.33955e-13
195,3.33955e-13
196,3.33955e-13
197,3.33955e-13
198,3.33955e-13
199,3.33955e-13
200,3.33955e-13
201,3.33955e-13
202,3.33955e-13
203,3.33955e-13
204,3.33955e-13
205,3.33955e-13
206,3.33955e-13
207,3.33955e-13
208,3.33955e-13
209,3.33955e-13
210,3.33955e-13
211,3.33955e-13
212,3.33955e-13
213,3.33955e-13
214,3.33955e-13
215,3.33955e-13
216,3.33955e-13
217,3.33955e-13
218,3.33955e-13
219,3.33955e-13
220,3.33955e-13
221,3.33955e-13
222,3.33955e-13
223,3.33955e-13
224,3.33955e-13
225,3.33955e-13
226,3.33955e-13
227,3.33955e-13
228,3.33955e-13
229,3.33955e-13
230,3.33955e-13
231,3.33955e-13
232,3.33955e-13
233,3.33955e-13
234,3.33955e-13
235,3.33955e-13
236,3.33955e-13
237,3.33955e-13
238,3.33955e-13
239,3.33955e-13
240,3.33955e-13
241,3.33955e-13
242,3.33955e-13
243,3.33955e-13
244,3.33955e-13
245,3.33955e-13
246,3.33955e-13
247,3.33955e-13
248,3.33955e-13
249,3.33955e-13
250,3.33955e-13
251,3.33955e-13
252,3.33955e-13
253,3.33955e-13
254,3.33955e-13
255,3.33955e-13
256,3.33955e-13
257,3.33955e-13
258,3.33955e-13
259,3.33955e-13
260,3.33955e-13
261,3.33955e-13
262,3.33955e-13
263,3.33955e-13
264,3.33955e-13
265,3.33955e-13
266,3.33955e-13
267,3.33955e-13
268,3.33955e-13
269,3.33955e-13
270,3.33955e-13
271,3.33955e-13
272,3.33955e-13
273,3.33955e-13
274,3.33955e-13
275,3.33955e-13
276,3.33955e-13
277,3.33955e-13
278,3.33955e-13
279,3.33955e-13
280,3.33955e-13
281,3.33955e-13
282,3.33955e-13
283,3.33955e-13
284,3.33955e-13
285,3.33955e-13
286,3.33955e-13
287,3.33955e-13
288,3.33955e-13
289,3.33955e-13
290,3.33955e-13
291,3.33955e-13
292,3.33955e-13
293,3.33955e-13
294,3.33955e-13
295,3.33955e-13
296,3.33955e-13
297,3.33955e-13
298,3.33955e-13
299,3.33955e-13
300,3.33955e-13
301,3.33955e-13
302,3.33955e-13
303,3.33955e-13
304,3.33955e-13
305,3.33955e-13
306,3.33955e-13
307,3.33955e-13
308,3.33955e-13
309,3.33955e-13
310,3.33955e-13
